,model_name,bic_mean,bic_sum,aic_mean,aic_sum,rss_mean,rss_sum,n_params
0,Base,16.593545032070487,348.46444567348027,7.492640282276729,157.3454459278113,33.314348584300525,699.601320270311,7
1,RPE,20.813552392138345,437.0846002349052,8.659979603641588,181.85957167647337,28.29482165022653,594.1912546547571,8
2,nRPE,20.74881558168946,435.72512721547866,8.724716414090471,183.2190446958999,28.91091676968483,607.1292521633815,8
3,pRPE,20.663255224546994,433.92835971548686,8.81027677123294,185.01581219589175,30.71179586850945,644.9477132386985,8
4,nRPE_pRPE,24.756239780303098,519.881035386365,9.917997921949226,208.27795636093373,27.654506752187768,580.7446417959432,9
5,tCPE,20.814931177652284,437.11355473069796,8.658600818127649,181.83061718068063,28.326831211835344,594.8634554485423,8
6,dCPE,20.742724889290404,435.59722267509846,8.730807106489532,183.34694923628018,29.316453574204917,615.6455250583033,8
7,RPE_tCPE,24.794771579356187,520.6902031664799,9.860200223369597,207.06420469076156,27.065777013779346,568.3813172893663,9
8,RPE_dCPE,24.79054137501155,520.6013688752425,9.866545529886556,207.19745612761767,27.148250224038428,570.113254704807,9
9,tRegret,20.753799034794234,435.8297797306789,8.719732960985695,183.1143921806996,28.96734131400766,608.3141675941608,8
10,dRegret,20.700251915247193,434.70529022019105,8.773280080532736,184.23888169118746,29.6916207774262,623.5240363259502,8
11,tRelief,20.729161319436074,435.31238770815753,8.744370676343863,183.63178420322112,29.562804739188756,620.8188995229639,8
12,dRelief,20.685069199190067,434.38645318299143,8.788462796589863,184.55771872838713,30.213067682427155,634.4744213309702,8
13,nRPE_tReg,24.72617003831681,519.249570804653,9.963102534928655,209.22515323350177,27.738296008088096,582.50421616985,9
14,nRPE_dReg,24.7304801425108,519.3400829927268,9.956637378637673,209.08938495139114,27.577595303219965,579.1295013676192,9
15,pRPE_tRel,24.687274244914956,518.4327591432141,10.021446225031442,210.45037072566026,28.871293788408487,606.2971695565782,9
16,pRPE_dRel,24.66997721925882,518.0695216044352,10.047391763515654,210.99522703382874,29.11668981734741,611.4504861642956,9
17,nRPE_tReg_pRPE_tRel,32.69568538159524,686.6093930135,12.154914529131627,255.25320511176417,25.748442966424818,540.7173022949212,11
18,nRPE_dReg_pRPE_dRel,32.6900457709875,686.4909611907376,12.169013555650972,255.5492846686704,25.705025795566424,539.8055417068949,11
19,Base_util,16.55299920984291,347.6129834067011,7.512913193390519,157.7711770612009,33.72576504272147,708.2410658971509,7
20,RPE_util,20.653286451611034,433.71901548383175,8.820245544168895,185.22515642754678,30.274375070066,635.761876471386,8
21,tCPE_util,20.802213785765417,436.8464895010738,8.671318210014514,182.0976824103048,28.402330657016034,596.4489437973367,8
22,dCPE_util,20.70712727955992,434.8496728707583,8.766404716220011,184.09449904062024,29.70632652704878,623.8328570680244,8
23,tCPE_RPE_util,24.753287612159312,519.8190398553455,9.922426174164908,208.37094965746306,27.5668752755629,578.9043807868209,9
24,dCPE_RPE_util,24.68679264754063,518.4226455983533,10.022168621092927,210.46554104295146,28.400614571588342,596.4129060033551,9
25,tRegret_util,20.76331691241238,436.02965516066,8.71021508336755,182.91451675071855,28.778126810835435,604.3406630275441,8
26,dRegret_util,20.636172686309994,433.3596264125099,8.837359309469932,185.58454549886855,30.728023393690354,645.2884912674974,8
27,tRelief_util,20.703051051240628,434.7640720760532,8.770480944539303,184.18009983532536,29.808663037620406,625.9819237900285,8
28,dRelief_util,20.64394407726138,433.522825622489,8.829587918518548,185.4213462888895,30.59690379373077,642.5349796683462,8
29,tReg_tRel_util,24.787390428028278,520.5351989885938,9.871271950361457,207.29671095759062,27.102058174771315,569.1432216701976,9
30,dReg_dRel_util,24.644558453959025,517.5357275331395,10.085519911465342,211.7959181407722,29.086523277100156,610.8169888191032,9
31,nRPE_tReg_util,24.741248769422434,519.5662241578711,9.94048443827022,208.75017320367462,27.567542214159094,578.918386497341,9
32,nRPE_dReg_util,24.601902452640257,516.6399515054454,10.149503913443496,213.13958218231343,29.618388330552687,621.9861549416064,9
33,pRPE_tRel_util,24.64625201137155,517.5712922388026,10.08297957534655,211.74257108227755,29.069711917534534,610.4639502682252,9
34,pRPE_dRel_util,24.596481397351504,516.5261093443816,10.157635496376626,213.31034542390915,29.65688578700146,622.7946015270306,9
35,nRPE_tReg_pRPE_tRel_util,32.6945714871754,686.5860012306835,12.157699265181222,255.31168456880567,25.45086413055362,534.468146741626,11
36,nRPE_dReg_pRPE_dRel_util,32.58177053568128,684.2171812493068,12.439701643916536,261.23373452224723,26.963745920623616,566.2386643330959,11
37,MLEBase_util,16.54615671171525,347.46929094602024,7.5163344424543475,157.8430232915413,33.84051376428928,710.6507890500749,7
38,MLERPE_util,20.61809643791566,432.98002519622884,8.85543555786427,185.96414671514967,30.823683775710215,647.2973592899145,8
39,MLEtCPE_util,20.75243828299935,435.8012039429864,8.721093712780581,183.14296796839218,29.12416660977406,611.6074988052553,8
40,MLEdCPE_util,20.660400575626255,433.8684120881514,8.813131420153672,185.07575982322712,30.477036924092733,640.0177754059474,8
41,MLEtCPE_RPE_util,24.69119686137296,518.5151340888322,10.015562300344438,210.3268083072332,28.45603808291092,597.5767997411293,9
42,MLEdCPE_RPE_util,24.635273867087346,517.3407512088343,10.09944679177286,212.08838262723003,29.192492473911834,613.0423419521485,9
43,MLEtRegret_util,20.72875008868422,435.3037518623686,8.744781907095712,183.64042004900995,29.28194470506249,614.9208388063123,8
44,MLEdRegret_util,20.609180806405913,432.7927969345242,8.864351189374016,186.15137497685436,31.23415341385119,655.917221690875,8
45,MLEtRelief_util,20.662154505023324,433.90524460548977,8.811377490756612,185.03892730588885,30.45520391215619,639.55928215528,8
46,MLEdRelief_util,20.607364844668627,432.75466173804114,8.866167151111306,186.18951017333742,31.193447250308054,655.0623922564691,8
47,MLEtReg_tRel_util,24.73464018236404,519.4274438296449,9.950397318857817,208.95834369601417,27.83533142078513,584.5419598364878,9
48,MLEdReg_dRel_util,24.600866344785043,516.6181932404859,10.15105807522632,213.17221957975272,29.78410540868398,625.4662135823636,9
49,MLEnRPE_tReg_util,24.689499191707228,518.4794830258518,10.01810880484304,210.38028490170385,28.34971312424245,595.3439756090914,9
50,MLEnRPE_dReg_util,24.57953110155025,516.1701531325552,10.183060940078496,213.84427974164842,30.017312549064698,630.3635635303586,9
51,MLEpRPE_tRel_util,24.600828628296377,516.6174011942239,10.151114649959307,213.17340764914547,29.77392478851769,625.2524205588714,9
52,MLEpRPE_dRel_util,24.56192056943856,515.8003319582098,10.209476738246035,214.39901150316675,30.19664108723078,634.1294628318464,9
53,MLEnRPE_tReg_pRPE_tRel_util,32.61519979349317,684.9191956633565,12.356128499386815,259.4786984871231,26.57982641933679,558.1763548060726,11
54,MLEnRPE_dReg_pRPE_dRel_util,32.53113160078917,683.1537636165726,12.566298981146806,263.89227860408295,27.715878367630506,582.0334457202406,11
