,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
0,0,gain,safe,0.869611933095485,0.8513399225207846,0.4718335376433697,0.8513399225207846,0.13038806690451502,0.869611933095485,0.2,0.56,0.0
1,1,loss,gamble,0.8857608502638605,-0.5234024039974405,-0.5234024039974405,-0.9330329915368074,0.8857608502638605,0.11423914973613947,-0.5,0.0,-1.58
2,2,gain,safe,0.8860351616532065,0.9502002165056764,0.5400268824271907,0.9502002165056764,0.11396483834679347,0.8860351616532065,0.6,2.16,0.0
3,3,loss,gamble,0.8811920135844417,-0.5116901522785812,-0.5116901522785812,-0.9124435365554808,0.8811920135844417,0.11880798641555836,-0.4,0.0,-1.26
4,4,mix,safe,0.48980622465607326,0.0,0.008156150441110455,0.0,0.5101937753439266,0.48980622465607326,0.0,0.36,-0.3
5,5,mix,safe,0.5533117932174394,0.0,-0.04281216735006316,0.0,0.4466882067825606,0.5533117932174394,0.0,0.32,-0.8
6,6,mix,gamble,0.45163620424409917,-0.038812385933019,-0.038812385933019,0.0,0.45163620424409917,0.5483637957559008,0.0,0.12,-0.3
7,7,loss,gamble,0.852795827950894,-0.5,-0.5,-0.8513399225207846,0.852795827950894,0.14720417204910594,-0.2,0.0,-1.0
8,8,gain,safe,0.8527958279508941,0.8513399225207846,0.5,0.8513399225207846,0.14720417204910594,0.8527958279508941,0.2,1.0,0.0
9,9,mix,gamble,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,-0.5
10,10,gain,safe,0.8775439080881335,0.9124435365554808,0.5185686446683241,0.9124435365554808,0.12245609191186647,0.8775439080881335,0.4,1.44,0.0
11,11,loss,gamble,0.8946995451258855,-0.48450949271127886,-0.48450949271127886,-0.9124435365554808,0.8946995451258855,0.10530045487411459,-0.4,0.0,-0.73
12,12,gain,gamble,0.12174040037718184,0.49135788863808577,0.49135788863808577,0.8865681505652133,0.12174040037718184,0.8782595996228182,0.3,0.84,0.0
13,13,gain,safe,0.8887385345860891,0.8865681505652133,0.4709841296069131,0.8865681505652133,0.11126146541391094,0.8887385345860891,0.3,0.55,0.0
14,14,mix,gamble,0.418363934456978,-0.06589864497681464,-0.06589864497681464,0.0,0.418363934456978,0.581636065543022,0.0,0.06,-0.3
15,15,gain,safe,0.8866872077248384,0.8865681505652133,0.4751001082528382,0.8865681505652133,0.11331279227516168,0.8866872077248384,0.3,0.6,0.0
16,16,mix,safe,0.4770873318729154,0.0,0.018342981551106752,0.0,0.5229126681270846,0.4770873318729154,0.0,0.45,-0.3
17,17,loss,gamble,0.8766079473098899,-0.5580615870169522,-0.5580615870169522,-0.9502002165056764,0.8766079473098899,0.12339205269011017,-0.6,0.0,-3.0
18,18,loss,gamble,0.8782103504259559,-0.4562217682777404,-0.4562217682777404,-0.8513399225207846,0.8782103504259559,0.12178964957404408,-0.2,0.0,-0.4
19,19,gain,safe,0.8807444119565324,0.8513399225207846,0.4514402257237171,0.8513399225207846,0.11925558804346761,0.8807444119565324,0.2,0.36,0.0
20,20,loss,gamble,0.8919488952833543,-0.5108720852107191,-0.5108720852107191,-0.9330329915368074,0.8919488952833543,0.10805110471664563,-0.5,0.0,-1.24
21,21,mix,gamble,0.42891106831215847,-0.05725906946521714,-0.05725906946521714,0.0,0.42891106831215847,0.5710889316878415,0.0,0.33,-1.1
22,22,loss,gamble,0.8840117911072785,-0.48037177807682013,-0.48037177807682013,-0.8865681505652133,0.8840117911072785,0.11598820889272159,-0.3,0.0,-0.67
23,23,loss,gamble,0.8926288505090842,-0.5266243456501635,-0.5266243456501635,-0.9502002165056764,0.8926288505090842,0.10737114949091575,-0.6,0.0,-1.68
24,24,gain,safe,0.8840117911072785,0.8865681505652133,0.48037177807682013,0.8865681505652133,0.11598820889272157,0.8840117911072785,0.3,0.67,0.0
25,25,gain,safe,0.8758544812046988,0.8513399225207846,0.46059081380627,0.8513399225207846,0.12414551879530117,0.8758544812046988,0.2,0.44,0.0
26,26,gain,safe,0.8889060907538414,0.9330329915368074,0.5171098470646901,0.9330329915368074,0.11109390924615856,0.8889060907538414,0.5,1.4,0.0
27,27,loss,gamble,0.9009991175525637,-0.49135788863808577,-0.49135788863808577,-0.9330329915368074,0.9009991175525637,0.09900088244743625,-0.5,0.0,-0.84
28,28,loss,gamble,0.9045221285822632,-0.5004977641474868,-0.5004977641474868,-0.9502002165056764,0.9045221285822632,0.09547787141773671,-0.6,0.0,-1.01
29,29,mix,gamble,0.5260863052923818,0.02088801026802012,0.02088801026802012,0.0,0.5260863052923818,0.4739136947076181,0.0,1.65,-1.1
30,30,mix,gamble,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.8,-0.8
31,31,mix,gamble,0.40443271654852986,-0.07740579671359865,-0.07740579671359865,0.0,0.40443271654852986,0.5955672834514703,0.0,0.3,-1.5
32,32,loss,gamble,0.9006978511434116,-0.5091996880735121,-0.5091996880735121,-0.9502002165056764,0.9006978511434116,0.09930214885658838,-0.6,0.0,-1.2
33,33,gain,safe,0.8900431611663799,0.9124435365554808,0.49420712801764377,0.9124435365554808,0.10995683883362006,0.8900431611663799,0.4,0.89,0.0
34,34,loss,gamble,0.8992239871156927,-0.4953066325477054,-0.4953066325477054,-0.9330329915368074,0.8992239871156927,0.10077601288430722,-0.5,0.0,-0.91
35,35,gain,safe,0.8725968445623172,0.8513399225207846,0.4665164957684037,0.8513399225207846,0.12740315543768269,0.8725968445623172,0.2,0.5,0.0
36,36,loss,gamble,0.8581379997296659,-0.49135788863808577,-0.49135788863808577,-0.8513399225207846,0.8581379997296659,0.14186200027033405,-0.2,0.0,-0.84
37,37,loss,safe,0.10168143399391112,-0.9502002165056764,-0.5144642112724064,-0.9502002165056764,0.8983185660060888,0.10168143399391112,-0.6,0.0,-1.33
38,38,gain,safe,0.8919488952833544,0.9330329915368074,0.5108720852107191,0.9330329915368074,0.10805110471664563,0.8919488952833544,0.5,1.24,0.0
39,39,loss,gamble,0.8731493219519825,-0.5266243456501635,-0.5266243456501635,-0.9124435365554808,0.8731493219519825,0.1268506780480176,-0.4,0.0,-1.68
40,40,mix,safe,0.5368464334320918,0.0,-0.02953068120057839,0.0,0.4631535665679082,0.5368464334320918,0.0,0.26,-0.5
41,41,gain,safe,0.8857608502638605,0.9330329915368074,0.5234024039974405,0.9330329915368074,0.11423914973613947,0.8857608502638605,0.5,1.58,0.0
42,42,gain,gamble,0.1272751120733693,0.5479791131926086,0.5479791131926086,0.9330329915368074,0.1272751120733693,0.8727248879266307,0.5,2.5,0.0
43,43,mix,safe,0.5127863156893756,0.0,-0.010231283222107757,0.0,0.4872136843106244,0.5127863156893756,0.0,1.23,-1.5
44,44,loss,gamble,0.869611933095485,-0.4718335376433697,-0.4718335376433697,-0.8513399225207846,0.869611933095485,0.13038806690451502,-0.2,0.0,-0.56
45,45,gain,safe,0.8811920135844417,0.9124435365554808,0.5116901522785812,0.9124435365554808,0.11880798641555836,0.8811920135844417,0.4,1.26,0.0
46,46,mix,gamble,0.5107278689638934,0.00858361248443451,0.00858361248443451,0.0,0.5107278689638934,0.4892721310361065,0.0,0.6,-0.5
47,47,gain,safe,0.8970774056465535,0.9330329915368074,0.5,0.9330329915368074,0.10292259435344661,0.8970774056465535,0.5,1.0,0.0
48,48,loss,gamble,0.8894638192893044,-0.5331450292392629,-0.5331450292392629,-0.9502002165056764,0.8894638192893044,0.11053618071069558,-0.6,0.0,-1.9
49,49,mix,gamble,0.5112439495828938,0.008996676427461048,0.008996676427461048,0.0,0.5112439495828938,0.4887560504171063,0.0,0.96,-0.8
50,50,loss,gamble,0.8807444119565323,-0.4514402257237171,-0.4514402257237171,-0.8513399225207846,0.8807444119565323,0.11925558804346761,-0.2,0.0,-0.36
51,51,mix,safe,0.5657640686716872,0.0,-0.052917828906845876,0.0,0.4342359313283128,0.5657640686716872,0.0,0.15,-0.5
52,52,loss,gamble,0.9028555527169262,-0.5043275047493857,-0.5043275047493857,-0.9502002165056764,0.9028555527169262,0.09714444728307384,-0.6,0.0,-1.09
53,53,mix,gamble,0.539686382874529,0.031816032970231556,0.031816032970231556,0.0,0.539686382874529,0.46031361712547114,0.0,0.6,-0.3
54,54,mix,safe,0.4548354383224843,0.0,0.03623040352072793,0.0,0.5451645616775158,0.4548354383224843,0.0,2.2,-1.1
55,55,mix,safe,0.4758883002242898,0.0,0.01930433316313307,0.0,0.5241116997757101,0.4758883002242898,0.0,0.75,-0.5
56,56,mix,safe,0.45624370487373883,0.0,0.0350948104630146,0.0,0.5437562951262611,0.45624370487373883,0.0,1.6,-0.8
57,57,gain,safe,0.8749694916843977,0.8865681505652133,0.49744190155408813,0.8865681505652133,0.12503050831560225,0.8749694916843977,0.3,0.95,0.0
58,58,loss,gamble,0.8714147873002432,-0.5038628976213374,-0.5038628976213374,-0.8865681505652133,0.8714147873002432,0.12858521269975687,-0.3,0.0,-1.08
59,59,gain,safe,0.878210350425956,0.8513399225207846,0.4562217682777404,0.8513399225207846,0.12178964957404406,0.878210350425956,0.2,0.4,0.0
60,60,gain,safe,0.8817305955368616,0.9502002165056764,0.548415926253338,0.9502002165056764,0.11826940446313844,0.8817305955368616,0.6,2.52,0.0
61,61,loss,gamble,0.8946305733326052,-0.5052453232613597,-0.5052453232613597,-0.9330329915368074,0.8946305733326052,0.10536942666739474,-0.5,0.0,-1.11
62,62,gain,safe,0.8616892084344567,0.8865681505652133,0.5206898719962053,0.8865681505652133,0.1383107915655432,0.8616892084344567,0.3,1.5,0.0
63,63,loss,safe,0.12210706987879731,-0.9330329915368074,-0.5385077201521816,-0.9330329915368074,0.8778929301212026,0.12210706987879731,-0.5,0.0,-2.1
64,64,mix,gamble,0.4374758253404121,-0.05028253248429526,-0.05028253248429526,0.0,0.4374758253404121,0.5625241746595879,0.0,0.09,-0.3
65,65,loss,gamble,0.8669654193697318,-0.5116901522785812,-0.5116901522785812,-0.8865681505652133,0.8669654193697318,0.1330345806302682,-0.3,0.0,-1.26
66,66,mix,safe,0.4880268283556086,0.0,0.00958036881080404,0.0,0.5119731716443913,0.4880268283556086,0.0,1.8,-1.5
67,67,gain,safe,0.8714147873002431,0.8865681505652133,0.5038628976213374,0.8865681505652133,0.12858521269975684,0.8714147873002431,0.3,1.08,0.0
68,68,loss,gamble,0.8900431611663799,-0.49420712801764377,-0.49420712801764377,-0.9124435365554808,0.8900431611663799,0.10995683883362006,-0.4,0.0,-0.89
69,69,gain,safe,0.9028555527169262,0.9502002165056764,0.5043275047493857,0.9502002165056764,0.09714444728307382,0.9028555527169262,0.6,1.09,0.0
70,70,gain,safe,0.9045221285822633,0.9502002165056764,0.5004977641474868,0.9502002165056764,0.0954778714177367,0.9045221285822633,0.6,1.01,0.0
71,71,gain,safe,0.8925815341244188,0.9124435365554808,0.48896638427146427,0.9124435365554808,0.10741846587558125,0.8925815341244188,0.4,0.8,0.0
