Trial,TrialType,SafeBet,LowBet,HighBet,Outcome,Risk side,bet 2 side,ITI
1,mix,0,-0.30,0.06,top,left,bottom,1.15
2,mix,0,-0.30,0.09,top,right,top,1.24
3,mix,0,-0.30,0.12,bottom,right,top,1.3
4,mix,0,-0.30,0.16,top,right,top,1.01
5,mix,0,-0.30,0.20,bottom,left,top,1.95
6,mix,0,-0.30,0.25,top,left,bottom,1.67
7,mix,0,-0.30,0.30,top,left,top,1.66
8,mix,0,-0.50,0.10,bottom,right,bottom,1.26
9,mix,0,-0.50,0.15,bottom,right,bottom,1
10,mix,0,-0.50,0.20,top,left,top,1.39
11,mix,0,-0.50,0.26,bottom,left,top,1.34
12,mix,0,-0.50,0.33,top,left,bottom,1.51
13,mix,0,-0.50,0.41,bottom,right,bottom,1.09
14,mix,0,-0.50,0.50,top,left,top,1.03
15,mix,0,-0.80,0.16,bottom,right,top,1.8
16,mix,0,-0.80,0.24,top,left,bottom,1.51
17,mix,0,-0.80,0.32,bottom,right,top,1.95
18,mix,0,-0.80,0.42,top,right,top,1.95
19,mix,0,-0.80,0.53,top,right,bottom,1.94
20,mix,0,-0.80,0.66,bottom,left,top,1.89
21,mix,0,-0.80,0.80,bottom,left,bottom,1.72
22,mix,0,-1.10,0.22,bottom,left,top,1.81
23,mix,0,-1.10,0.33,top,right,bottom,1.04
24,mix,0,-1.10,0.44,bottom,right,bottom,1.19
25,mix,0,-1.10,0.57,top,left,top,1.64
26,mix,0,-1.10,0.73,top,left,bottom,1.36
27,mix,0,-1.10,0.90,top,right,top,1.8
28,mix,0,-1.50,0.30,bottom,right,top,1.15
29,mix,0,-1.50,0.45,top,right,top,1.87
30,mix,0,-1.50,0.60,bottom,left,top,1.98
31,mix,0,-1.50,0.78,top,left,bottom,1.22
32,mix,0,-1.50,0.99,top,left,top,1.37
33,mix,0,-1.50,1.23,bottom,right,bottom,1.44
34,mix,0,-1.50,1.50,bottom,right,bottom,1.72
35,mix,0,-0.30,0.36,top,left,top,1.24
36,mix,0,-0.30,0.45,bottom,left,top,1.4
37,mix,0,-0.30,0.60,top,left,bottom,1.06
38,mix,0,-0.50,0.60,bottom,right,bottom,1.16
39,mix,0,-0.50,0.75,top,left,top,1.68
40,mix,0,-0.50,1.00,bottom,right,top,1.97
41,mix,0,-0.80,0.96,top,left,bottom,1.68
42,mix,0,-0.80,1.20,bottom,right,top,1.69
43,mix,0,-0.80,1.60,top,right,top,1.27
44,mix,0,-1.10,1.10,top,right,bottom,1.77
45,mix,0,-1.10,1.32,bottom,left,top,1.19
46,mix,0,-1.10,1.65,bottom,left,bottom,1.04
47,mix,0,-1.10,2.20,bottom,left,top,1.76
48,mix,0,-1.50,1.80,top,right,bottom,1.25
49,mix,0,-1.50,2.25,bottom,right,bottom,1.51
50,mix,0,-1.50,3.00,top,left,top,1.88
51,gain,0.20,0,0.34,top,left,bottom,1.94
52,gain,0.20,0,0.36,top,right,top,1.29
53,gain,0.20,0,0.40,bottom,right,top,1.28
54,gain,0.20,0,0.44,top,right,top,1.06
55,gain,0.20,0,0.50,bottom,left,top,1.19
56,gain,0.20,0,0.56,top,left,bottom,1.92
57,gain,0.20,0,0.63,top,left,top,1.45
58,gain,0.20,0,0.72,bottom,right,bottom,1.71
59,gain,0.20,0,0.84,bottom,right,bottom,1.6
60,gain,0.20,0,1.00,top,left,top,1.54
61,gain,0.30,0,0.50,bottom,left,top,1.42
62,gain,0.30,0,0.55,top,left,bottom,1.9
63,gain,0.30,0,0.60,bottom,right,bottom,1.72
64,gain,0.30,0,0.67,top,left,top,1.09
65,gain,0.30,0,0.74,bottom,right,top,1.63
